"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 18:17:57 CST 2019","Thu Oct 24 18:18:01 CST 2019","4177","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_077应急取款展开文本","应急取款开展信息展示是否正确"
"passed","Thu Oct 24 17:47:59 CST 2019","Thu Oct 24 17:48:01 CST 2019","2157","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-应急取款","Test_现金管理_智多鑫_应急取款","","","test_2取消应急取款操作","取消应急取款操作"
"passed","Thu Oct 24 18:02:53 CST 2019","Thu Oct 24 18:02:54 CST 2019","1698","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-应急取款","Test_现金管理_添鑫宝_应急取款","","","test_2取消应急取款操作","取消应急取款操作"
"passed","Thu Oct 24 18:19:12 CST 2019","Thu Oct 24 18:19:16 CST 2019","4578","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-预约取款","Test_现金管理_添鑫宝_预约取款用例","","","test_4预约取款成功后页面跳转是否正确","预约取款成功后页面跳转"
"broken","Thu Oct 24 17:55:09 CST 2019","Thu Oct 24 17:55:10 CST 2019","770","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_02查看七日年化收益显示是否正确","查看七日年化收益显示是否正确"
"passed","Thu Oct 24 17:55:29 CST 2019","Thu Oct 24 17:55:39 CST 2019","10313","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_071买入默认信息展示是否正确","买入默认信息展示是否正确"
"failed","Thu Oct 24 18:12:24 CST 2019","Thu Oct 24 18:15:37 CST 2019","193246","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约3-完成签约2","Test_现金管理_添鑫宝_签约3_完成签约2","","","test_0机构户提示是否正确","机构户提示是否正确"
"passed","Thu Oct 24 18:02:10 CST 2019","Thu Oct 24 18:02:43 CST 2019","32969","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-应急取款","Test_现金管理_添鑫宝_应急取款","","","test_0进入应急取款页面","进入应急取款页面"
"passed","Thu Oct 24 18:03:32 CST 2019","Thu Oct 24 18:04:09 CST 2019","37774","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_0进入更多设置页面","点击更多-设置，页面跳转"
"passed","Thu Oct 24 17:59:22 CST 2019","Thu Oct 24 17:59:29 CST 2019","6620","建投自动化测试.现金管理测试用例","test_现金管理-更多-智多鑫-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_3分红页面","点击更多-分红查询"
"passed","Thu Oct 24 18:04:09 CST 2019","Thu Oct 24 18:04:24 CST 2019","14511","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_11设置保留额度为1","设置保留额度为1"
"passed","Thu Oct 24 17:50:47 CST 2019","Thu Oct 24 17:50:51 CST 2019","4755","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_5点击应急取款按钮","点击应急取款按钮"
"passed","Thu Oct 24 17:58:40 CST 2019","Thu Oct 24 17:58:40 CST 2019","51","建投自动化测试.现金管理测试用例","test_现金管理-更多-智多鑫-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_12暂停失败","暂停失败"
"passed","Thu Oct 24 18:18:04 CST 2019","Thu Oct 24 18:18:05 CST 2019","798","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_083基金托管人默认文本","基金托管人默认信息展示是否正确"
"passed","Thu Oct 24 17:55:19 CST 2019","Thu Oct 24 17:55:21 CST 2019","1569","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_05点击图表七日年化收益率tab","点击图表七日年化收益率tab"
"passed","Thu Oct 24 17:49:16 CST 2019","Thu Oct 24 17:49:53 CST 2019","37007","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_0进入更多设置页面","点击更多-设置，页面跳转"
"failed","Thu Oct 24 18:09:14 CST 2019","Thu Oct 24 18:09:48 CST 2019","34059","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约1-适当性3","Test_现金管理_添鑫宝_签约1_适当性3","","","test_0不适当性用户点击立即参与后点击签约","现金管理添鑫宝签约不适当性投资者签约"
"passed","Thu Oct 24 18:11:15 CST 2019","Thu Oct 24 18:11:53 CST 2019","38249","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约3-完成签约","Test_现金管理_添鑫宝_签约3_完成签约","","","test_0勾选协议申请开通签约","勾选协议申请开通签约"
"passed","Thu Oct 24 17:48:58 CST 2019","Thu Oct 24 17:48:59 CST 2019","327","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-应急取款","Test_现金管理_智多鑫_应急取款","","","test_5应急取款成功后页面跳转是否正确","应急取款后页面跳转取款成功"
